patient,mechanism,rate,n_runs,green_green,green_yellow,green_red,yellow_green,yellow_yellow,yellow_red,red_green,red_yellow,red_red,precision_warning,precision_alert,recall_warning,recall_alert,recall_both,accuracy
P111019,MAR,5pct,1,128,2,0,1,4,1,0,2,46,0.6666666666666666,0.9583333333333334,0.5,0.9787234042553191,0.02,0.8928571428571429
P182427,MAR,5pct,1,184,9,0,0,16,3,0,3,26,0.8421052631578947,0.896551724137931,0.5714285714285714,0.896551724137931,0.0,0.7368421052631579
P230742,MAR,5pct,1,181,1,0,1,7,0,0,2,12,0.875,0.8571428571428571,0.7,1.0,0.05263157894736842,0.8260869565217391
P261190,MAR,5pct,1,232,1,0,2,8,0,1,3,31,0.8,0.8857142857142857,0.6666666666666666,1.0,0.07692307692307693,0.8478260869565217
P271946,MAR,5pct,1,158,1,0,0,11,1,0,3,29,0.9166666666666666,0.90625,0.7333333333333333,0.9666666666666667,0.0,0.8888888888888888
P111019,MAR,10pct,1,127,3,0,1,2,3,2,3,43,0.3333333333333333,0.8958333333333334,0.25,0.9347826086956522,0.06666666666666667,0.7894736842105263
P182427,MAR,10pct,1,191,2,0,1,16,2,0,3,26,0.8421052631578947,0.896551724137931,0.7619047619047619,0.9285714285714286,0.023809523809523808,0.84
P230742,MAR,10pct,1,180,1,1,2,5,1,0,3,11,0.625,0.7857142857142857,0.5555555555555556,0.8461538461538461,0.125,0.6666666666666666
P261190,MAR,10pct,1,226,5,0,3,6,1,1,2,31,0.6,0.9117647058823529,0.46153846153846156,0.96875,0.10810810810810811,0.7551020408163265
P271946,MAR,10pct,1,157,2,0,5,4,3,0,4,28,0.3333333333333333,0.875,0.4,0.9032258064516129,0.15625,0.6956521739130435
P111019,MAR,15pct,1,127,2,1,1,1,4,3,5,40,0.16666666666666666,0.8333333333333334,0.125,0.8888888888888888,0.0975609756097561,0.7192982456140351
P182427,MAR,15pct,1,190,2,1,1,16,2,1,4,24,0.8421052631578947,0.8275862068965517,0.7272727272727273,0.8888888888888888,0.05,0.7843137254901961
P230742,MAR,15pct,1,178,3,1,4,1,3,0,2,12,0.125,0.8571428571428571,0.16666666666666666,0.75,0.3076923076923077,0.5
P261190,MAR,15pct,1,225,6,0,5,4,1,1,3,30,0.4,0.8823529411764706,0.3076923076923077,0.967741935483871,0.17647058823529413,0.68
P271946,MAR,15pct,1,156,3,0,4,5,3,0,3,29,0.4166666666666667,0.90625,0.45454545454545453,0.90625,0.11764705882352941,0.723404255319149
P111019,MAR,20pct,1,126,3,1,2,2,2,6,2,40,0.3333333333333333,0.8333333333333334,0.2857142857142857,0.9302325581395349,0.19047619047619047,0.7241379310344828
P182427,MAR,20pct,1,191,1,1,9,6,4,2,2,25,0.3157894736842105,0.8620689655172413,0.6666666666666666,0.8333333333333334,0.3548387096774194,0.62
P230742,MAR,20pct,1,178,3,1,3,2,3,1,2,11,0.25,0.7857142857142857,0.2857142857142857,0.7333333333333333,0.3076923076923077,0.5
P261190,MAR,20pct,1,223,8,0,6,3,1,1,3,30,0.3,0.8823529411764706,0.21428571428571427,0.967741935483871,0.21212121212121213,0.6346153846153846
P271946,MAR,20pct,1,153,6,0,4,5,3,0,3,29,0.4166666666666667,0.90625,0.35714285714285715,0.90625,0.11764705882352941,0.68
P111019,MAR,25pct,1,126,2,2,1,3,2,7,1,40,0.5,0.8333333333333334,0.5,0.9090909090909091,0.18604651162790697,0.7413793103448276
P182427,MAR,25pct,1,187,5,1,5,11,3,3,4,22,0.5789473684210527,0.7586206896551724,0.55,0.8461538461538461,0.24242424242424243,0.6111111111111112
P230742,MAR,25pct,1,178,3,1,3,4,1,2,1,11,0.5,0.7857142857142857,0.5,0.8461538461538461,0.3333333333333333,0.5769230769230769
P261190,MAR,25pct,1,220,8,3,8,1,1,2,3,29,0.1,0.8529411764705882,0.08333333333333333,0.8787878787878788,0.3333333333333333,0.5454545454545454
P271946,MAR,25pct,1,151,8,0,4,3,5,1,4,27,0.25,0.84375,0.2,0.84375,0.16666666666666666,0.5769230769230769
P111019,MCAR,5pct,5,649,1,0,4,26,0,0,4,236,0.8666666666666667,0.9833333333333333,0.8387096774193549,1.0,0.015267175572519083,0.966789667896679
P182427,MCAR,5pct,5,953,12,0,1,82,12,0,2,143,0.8631578947368421,0.9862068965517241,0.8541666666666666,0.9225806451612903,0.0044444444444444444,0.8928571428571429
P230742,MCAR,5pct,5,909,1,0,0,40,0,0,0,70,1.0,1.0,0.975609756097561,1.0,0.0,0.990990990990991
P261190,MCAR,5pct,5,1164,6,0,3,45,2,0,8,167,0.9,0.9542857142857143,0.7627118644067796,0.9881656804733728,0.014150943396226415,0.9177489177489178
P271946,MCAR,5pct,5,791,4,0,0,58,2,0,8,152,0.9666666666666667,0.95,0.8285714285714286,0.987012987012987,0.0,0.9375
P111019,MCAR,10pct,5,646,4,0,5,25,0,0,7,233,0.8333333333333334,0.9708333333333333,0.6944444444444444,1.0,0.01937984496124031,0.9416058394160584
P182427,MCAR,10pct,5,940,25,0,2,75,18,0,4,141,0.7894736842105263,0.9724137931034482,0.7211538461538461,0.8867924528301887,0.009259259259259259,0.8150943396226416
P230742,MCAR,10pct,5,907,3,0,0,39,1,0,2,68,0.975,0.9714285714285714,0.8863636363636364,0.9855072463768116,0.0,0.9469026548672567
P261190,MCAR,10pct,5,1162,8,0,13,35,2,0,12,163,0.7,0.9314285714285714,0.6363636363636364,0.9878787878787879,0.06565656565656566,0.8497854077253219
P271946,MCAR,10pct,5,790,5,0,7,47,6,0,8,152,0.7833333333333333,0.95,0.7833333333333333,0.9620253164556962,0.035175879396984924,0.8844444444444445
P111019,MCAR,15pct,5,641,9,0,5,21,4,6,4,230,0.7,0.9583333333333334,0.6176470588235294,0.9829059829059829,0.043824701195219126,0.899641577060932
P182427,MCAR,15pct,5,939,26,0,8,70,17,0,7,138,0.7368421052631579,0.9517241379310345,0.6796116504854369,0.8903225806451613,0.038461538461538464,0.7819548872180451
P230742,MCAR,15pct,5,906,4,0,0,39,1,0,3,67,0.975,0.9571428571428572,0.8478260869565217,0.9852941176470589,0.0,0.9298245614035088
P261190,MCAR,15pct,5,1161,9,0,18,32,0,1,15,159,0.64,0.9085714285714286,0.5714285714285714,1.0,0.09947643979057591,0.8162393162393162
P271946,MCAR,15pct,5,789,6,0,7,50,3,0,9,151,0.8333333333333334,0.94375,0.7692307692307693,0.9805194805194806,0.03482587064676617,0.8893805309734514
P111019,MCAR,20pct,5,639,11,0,5,20,5,4,9,227,0.6666666666666666,0.9458333333333333,0.5,0.978448275862069,0.03643724696356275,0.8790035587188612
P182427,MCAR,20pct,5,930,35,0,8,70,17,0,8,137,0.7368421052631579,0.9448275862068966,0.6194690265486725,0.8896103896103896,0.03864734299516908,0.7527272727272727
P230742,MCAR,20pct,5,908,2,0,0,39,1,0,3,67,0.975,0.9571428571428572,0.8863636363636364,0.9852941176470589,0.0,0.9464285714285714
P261190,MCAR,20pct,5,1162,8,0,20,30,0,1,18,156,0.6,0.8914285714285715,0.5357142857142857,1.0,0.11290322580645161,0.7982832618025751
