mechanism,rate,n_patients,accuracy_mean,accuracy_std,precision_warning_mean,precision_warning_std,precision_alert_mean,precision_alert_std,recall_warning_mean,recall_warning_std,recall_alert_mean,recall_alert_std,recall_both_mean,recall_both_std
MAR,5pct,5,0.8385002360974901,0.06338202862683277,0.8200877192982456,0.09587643055185528,0.9007984400656814,0.03705185446788359,0.6342857142857142,0.09638594001775659,0.9683883590119834,0.04262883761801433,0.02991093117408907,0.03396293511793856
MAR,10pct,5,0.7493789131213127,0.06996499922445498,0.5467543859649122,0.216383169170518,0.8729728098135805,0.0505013352916579,0.48579975579975576,0.19016544068624297,0.916296737974508,0.04564705539934968,0.09596685971685973,0.05169519462101375
MAR,15pct,5,0.681403245284676,0.1080506702051751,0.39008771929824565,0.28518109132206754,0.8613330677098425,0.03316534144032748,0.3562354312354313,0.2444872756075313,0.8803539426523297,0.07975761414562267,0.14987418607217748,0.09920186601432271
MAR,20pct,5,0.6317506631299735,0.08421390581078003,0.32315789473684214,0.06080725544339529,0.8539439051482661,0.04660765530289577,0.3619047619047619,0.1776962681623361,0.8741782320580146,0.09277721112796879,0.2365550957581318,0.09475088083070832
MAR,25pct,5,0.6103582241513277,0.0768365107140211,0.38578947368421057,0.2021833730638855,0.814871897034676,0.040738201136702394,0.36666666666666664,0.2104888490052515,0.8647872960372961,0.02870455181952461,0.25236081747709654,0.07898244554225102
MCAR,5pct,5,0.9411773438987462,0.03884149332838003,0.9192982456140351,0.06134082012998977,0.9747651888341544,0.021643965244384653,0.8519538786323582,0.0774305453329543,0.9795518625295301,0.03244933935602157,0.006772512682637987,0.0074792094368759734
MCAR,10pct,5,0.8875665372151446,0.057293982391411286,0.8162280701754385,0.1010048772397821,0.959220853858785,0.0181339929572177,0.7443317793317792,0.09536410788525893,0.9644407607082968,0.045532108237874055,0.025894309854810026,0.02577238329895722
MCAR,15pct,5,0.8634081745790505,0.06176183775175475,0.7770350877192983,0.13104206843452937,0.9439043513957307,0.020573295040485964,0.6971488273849656,0.11217520829933716,0.9678084323435368,0.04397615891268208,0.043317710018819934,0.03579866516023727
MCAR,20pct,5,0.8493956757925989,0.07532624013160209,0.745701754385965,0.14155405333436888,0.9353464696223316,0.025536091449031417,0.6608517626066748,0.16161396446812465,0.9642189437206777,0.04331791966113039,0.047853973409446936,0.04107390720611801
MCAR,25pct,5,0.8232179878867774,0.06915734226691675,0.6863859649122807,0.19352784178593513,0.9243448275862068,0.023261175873466315,0.6015329488874073,0.14352387235702413,0.9590964997693845,0.05170844528663958,0.05702530815630737,0.04651495316045756
MNAR,5pct,5,0.8301244327331284,0.0876037291993845,0.7435087719298246,0.10166095226360572,0.9149568965517242,0.0645796547597526,0.7375935828877005,0.15822231767413444,0.9215558608058607,0.048434910039898554,0.037222222222222226,0.046214742984634266
MNAR,10pct,5,0.7237190957190958,0.1351150836903687,0.5646491228070175,0.11160001318299127,0.8222167487684728,0.12222835366025528,0.6268686868686869,0.2096338045424403,0.9293737373737374,0.052817340543572455,0.17624299719887954,0.11186484363907634
MNAR,15pct,5,0.6385288017710378,0.18762839273601123,0.4090350877192983,0.23351867391714293,0.7226148217907852,0.1705612103685187,0.5227272727272727,0.31957487256283734,0.9545,0.08124807690031809,0.37001836997425236,0.22721875382256498
MNAR,20pct,5,0.5186673755094807,0.21771792543853538,0.3380701754385965,0.14421970346861399,0.587100357384333,0.21175120316673252,0.3200549450549451,0.1303208792876713,0.9675863991081382,0.03275065811851028,0.6309770607642948,0.38561334019155535
MNAR,25pct,5,0.4597052154195011,0.22722925516241343,0.2155263157894737,0.14579609734356944,0.5510920747609388,0.2133162318144433,0.2764957264957265,0.22791043426251933,0.9702439024390245,0.04458814102480154,1.1668284201822023,0.9528809304621112
